matrix_n,avg_latency_s,cpu_freq_mhz,repeats,blas_threads
64,7.060219995764782e-05,1590.0170560000001,10,1
128,0.0001143194998803665,2120.0267200000003,10,1
192,0.0002779280000140716,2400.0287999999996,10,1
256,0.0005972102997475303,2400.027648,10,1
320,0.0009897191002892214,2400.0301312,10,1
384,0.001475770699835266,2400.0279808,10,1
448,0.0025844927000434836,2400.0258304,10,1
512,0.004007315300077608,2400.0281344000005,10,1
576,0.00595629329991425,2400.02848,10,1
640,0.008403236999856744,2400.0268287999997,10,1
704,0.011380645999906847,2400.0273024,10,1
768,0.014004716600175016,2400.0264832,10,1
832,0.01779095759993652,2400.0261760000003,10,1
896,0.022110694899947703,2400.0268416,10,1
960,0.027082498900108477,2400.0253056,10,1
1024,0.03158255050002481,2400.0263168000006,10,1
1088,0.038664686900119705,2400.027968,10,1
1152,0.044799326899919834,2400.0273024000003,10,1
1216,0.05244841909989191,2400.0264832000003,10,1
1280,0.05980620340005771,2400.0255104000003,10,1
1344,0.06901009220009655,2400.0286336,10,1
1408,0.07775886310000715,2400.0278144,10,1
1472,0.09980290840003363,2400.0251648000003,10,1
1536,0.09779563909996795,2400.0279679999994,10,1
1600,0.11139500939989375,2400.0258304000004,10,1
1664,0.1229510748001303,2400.0273024000003,10,1
1728,0.137968845999967,2400.0274688,10,1
1792,0.15427256369985115,2400.0274816,10,1
1856,0.16971781219981494,2400.0279936,10,1
1920,0.1859582288000638,2400.0268032000004,10,1
1984,0.20366932610004368,2400.0228480000005,10,1
2048,0.20558115179992456,2400.0302976,10,1
